序号,调整项目,FIS国际标准,中国优化版本,变化量,变化率,影响评估
1,Penalty分母,÷10,÷12,+2,+20%,小赛事更公平
2,NL更新周期,14天,21天,+7天,+50%,适配赛事频率
3,BL单次成绩,+20%,+15%,-5%,-25%,新人更友好
4,BL无成绩,+50%,+40%,-10%,-20%,控制积分膨胀
5,伤病保护,+10%,+8%,-2%,-20%,更稳健保护
6,伤病保护期,无限制,10个月,+10个月,新增,明确期限
7,新运动员BL,999.99分,平均×1.2,-90%+,-90%+,大幅降门槛
8,滑降保护值,330分,300分,-30分,-9.1%,适配国内水平
9,超大保护值,270分,250分,-20分,-7.4%,适配国内水平
10,大回转保护值,220分,200分,-20分,-9.1%,适配国内水平
11,回转保护值,165分,150分,-15分,-9.1%,适配国内水平
12,全能保护值,270分,250分,-20分,-7.4%,适配国内水平
13,雪季适应名额,无,额外2个,+2个,新增,地域公平
14,青少年保障,无,至少2个,+2个,新增,后备培养
15,名额转换,无,1:1.5,1.5倍,新增,青少年倾斜
16,一带一路优惠,无,费用减免,减免,新增,国际交流
17,伤病保护模式,单一,多元化,分阶段+冻结,新增,灵活保护